group	subset	learningiter	acc	expid
tv	460	3000	0.727866	188
tv	460	3250	0.725067	188
tv	460	3500	0.729467	188
tv	460	3750	0.7464	188
tv	460	4000	0.735467	188
tv	460	4250	0.749867	188
tv	460	4500	0.743067	188
tv	460	4750	0.745466	188
tv	460	5000	0.752667	188
tv	460	5250	0.731467	188
tv	460	5500	0.753867	188
tv	460	5750	0.751333	188
tv	460	6000	0.7596	188
tv	460	6250	0.760133	188
tv	460	6500	0.756667	188
tv	460	6750	0.756267	188
tv	460	7000	0.77	188
tv	460	7250	0.771733	188
tv	460	7500	0.766267	188
tv	460	7750	0.7784	188
tv	460	8000	0.7764	188
tv	460	8250	0.781467	188
tv	460	8500	0.784533	188
tv	460	8750	0.780533	188
tv	460	9000	0.7892	188
tv	460	9250	0.784934	188
tv	460	9500	0.790267	188
tv	460	9750	0.792533	188
tv	460	10000	0.792933	188
tv	460	10250	0.7936	188
tv	460	10500	0.792933	188
tv	460	10750	0.795467	188
tv	460	11000	0.7996	188
tv	460	11250	0.797067	188
tv	460	11500	0.799333	188
tv	460	11750	0.799467	188
tv	460	12000	0.800667	188
tv	460	12250	0.806133	188
tv	460	12500	0.8004	188
tv	460	12750	0.8072	188
tv	460	13000	0.804533	188
tv	460	13250	0.808267	188
tv	460	13500	0.814133	188
tv	460	13750	0.807867	188
tv	460	14000	0.813333	188
tv	460	14250	0.814	188
tv	460	14500	0.815867	188
tv	460	14750	0.818133	188
tv	460	15000	0.814	188
tv	460	15250	0.8176	188
tv	460	15500	0.816134	188
tv	460	15750	0.818534	188
tv	460	16000	0.820933	188
tv	460	16250	0.8204	188
tv	460	16500	0.819867	188
tv	460	16750	0.82	188
tv	460	17000	0.8232	188
tv	460	17250	0.823867	188
tv	460	17500	0.822267	188
tv	460	17750	0.8208	188
tv	460	18000	0.820667	188
tv	460	18250	0.825467	188
tv	460	18500	0.827067	188
tv	460	18750	0.823867	188
tv	460	19000	0.823333	188
tv	460	19250	0.824134	188
tv	460	19500	0.8284	188
tv	460	19750	0.827867	188
tv	460	20000	0.826	188
tv	460	20250	0.825733	188
tv	460	20500	0.8268	188
tv	460	20750	0.829333	188
tv	460	21000	0.8308	188
tv	460	21250	0.829867	188
tv	460	21500	0.827867	188
tv	460	21750	0.829467	188
tv	460	22000	0.831733	188
tv	460	22250	0.831867	188
tv	460	22500	0.8308	188
tv	460	22750	0.8296	188
tv	460	23000	0.830533	188
tv	460	23250	0.834667	188
